aah	a·h
aardvark	a·hdva·hk
aardvarks	a·hdva·hks
aardwolf	a·hdwu·lf
aba	u·hba
abaca	a·ba·ku·h
aback	u·hba·k
abacus	a·ba·ku·hs
abacuses	a·bu·hku·hsi·z
abalone	u·hba·lo·hn
abandon	u·hba·ndu·hn
abandoned	u·hba·ndu·hnd
abandoning	u·hba·ndu·hni·ng
abandonment	u·hba·ndu·hnmu·hnt
abandons	u·hba·ndu·hnz
abas	u·hba·z
abase	u·hbe·ys
abasement	u·hbe·ysmu·hnt
abashed	u·hba·sht
abate	u·hbe·yt
abated	u·hbe·yti·d
abatement	u·hbe·ytmu·hnt
abates	u·hbe·yts
abating	u·hbe·yti·ng
abattoir	a·bu·htwa·h
abattoirs	a·bu·htwa·hz
abba	a·bu·h
abb	a·b
abbess	a·be·s
abbesses	a·be·si·z
abbey	a·bi
abbeys	a·bi·z
abbot	a·bu·ht
abbots	a·bu·hts
abbreviate	u·hbrIyvie·yt
abbreviated	u·hbrIyvie·yti·d
abbreviates	u·hbrIyvie·yts
abbreviating	u·hbrIyvie·yti·ng
abbreviation	u·hbrIyvie·yshn
abbreviations	u·hbrIyvie·yshnz
abdicate	a·bdi·ke·yt
abdicated	a·bdi·ke·yti·d
abdicates	a·bdi·ke·yts
abdicating	a·bdi·ke·yti·ng
abdication	a·bdi·ke·yshn
abdomen	a·bdu·hmu·hn
abdomens	a·bdu·hmu·hnz
abdominal	a·bdɒmi·nu·hl
abduct	u·hbdu·hkt
abducted	u·hbdu·hkti·d
abducting	u·hbdu·hkti·ng
abduction	u·hbdu·hkshn
abductions	u·hbdu·hkshnz
abductor	u·hbdu·hktu·h
abductors	u·hbdu·hktu·hz
abducts	u·hbdu·hkts
abeam	u·hbIym
abed	u·hbe·d
aberrant	u·hbe·ru·hnt
aberration	a·bu·hre·yshn
aberrations	a·bu·hre·yshnz
abet	u·hbe·t
abetted	u·hbe·ti·d
abetting	u·hbe·ti·ng
abeyance	u·hbe·yu·hns
abhor	u·hbha·wː
abhorred	u·hbha·wːd
abhorrence	u·hbhɒru·hns
abhorrent	u·hbhɒru·hnt
abhorring	u·hbha·wːri·ng
abhors	u·hbha·wːz
abide	u·hbai·d
abided	u·hbai·di·d
abides	u·hbai·dz
abiding	u·hbai·di·ng
abies	u·hbai·z
abigail	a·bi·ge·yl
