'bout	bo·wt
'cause	ku·hz
'course	ka·wrs
'cuse	kyu·z
'em	u·hm
'frisco	fri·sko·h
'gain	ge·n
'kay	ke·y
'm	u·hm
'n	u·hn
'round	ro·wnd
's	e·s
'til	ti·l
'tis	ti·z
'twas	twu·hz
a	e·y, u·h
a.	e·y
a.'s	e·yz
a.d.	e·ydi
a.m.	e·ye·m
a.s	e·yz
a's	e·yz
aaa	tri·pu·hle·y
aaberg	a·hbe·rg
aachen	a·hku·hn
aachener	a·hku·hne·r
aaker	a·hke·r
aaliyah	a·hlia·h
aalseth	a·hlse·th
aamodt	a·hmu·ht
aancor	a·hnka·wr
aardema	a·hrde·mu·h
aardvark	a·hrdva·hrk
aardvarks	a·hrdva·hrks
aargh	a·hrg
aarhus	a·hhu·s
aaron	e·ru·hn
aaron's	e·ru·hnz
aarons	e·ru·hnz
aaronson	a·hru·hnsu·hn, e·ru·hnsu·hn
aaronson's	a·hru·hnsu·hnz, e·ru·hnsu·hnz
aarti	a·hrti
aase	a·hs
aasen	a·hsu·hn
ab	a·b, e·ybi
aba	e·ybie·y
ababa	a·hbu·hbu·h, u·hba·hbu·h
abacha	a·bu·hku·h
aback	u·hba·k
abaco	a·bu·hko·h
abacus	a·bu·hku·hs
abad	u·hba·hd
abadaka	u·hba·du·hku·h
abadi	u·hba·di
abadie	u·hba·di
abair	u·hbe·r
abalkin	u·hba·hlki·n
abalone	a·bu·hlo·hni
abalones	a·bu·hlo·hni·z
abalos	a·hba·hlo·hz
abandon	u·hba·ndu·hn
abandoned	u·hba·ndu·hnd
abandoning	u·hba·ndu·hni·ng
abandonment	u·hba·ndu·hnmu·hnt
abandonments	u·hba·ndu·hnmu·hnts
abandons	u·hba·ndu·hnz
abanto	u·hba·ntow
abarca	u·hba·hrku·h
abare	a·hba·hri
abascal	a·bu·hsku·hl
abash	u·hba·sh
abashed	u·hba·sht
abasia	u·hbe·yzhyu·h
abate	u·hbe·yt
abated	u·hbe·yti·d
abatement	u·hbe·ytmu·hnt
abatements	u·hbe·ytmu·hnts
abates	u·hbe·yts
abating	u·hbe·yti·ng
abattoir	a·bu·htwa·hr
abba	a·bu·h
abbado	u·hba·hdo·h
abbas	u·hba·hs
abbasi	a·hba·hsi
abbate	a·hbe·yt
abbatiello	a·hba·htie·lo·h
abbe	a·bi·, a·be·y
abbenhaus	a·bu·hnho·ws
abbett	u·hbe·t
abbeville	a·bvi·l
abbey	a·bi
abbey's	a·bi·z
abbie	a·bi
abbitt	a·bi·t
abbot	a·bu·ht
abbotstown	a·bu·htsto·wn
abbott	a·bu·ht
abbott's	a·bu·hts
abbottstown	a·bu·htsto·wn
abboud	u·hbo·wd, u·hbu·d
abbreviate	u·hbri·vie·yt
abbreviated	u·hbri·vie·yti·d
abbreviates	u·hbri·vie·yts
abbreviating	u·hbri·vie·yti·ng
abbreviation	u·hbri·vie·yshn
abbreviations	u·hbri·vie·yshnz
abbruzzese	a·hbru·tse·yzi
abbs	a·bz
abby	a·bi
abc	e·ybi·si
abc's	e·ybi·si·z
abco	a·bko·h
abcotek	a·bko·hte·k
abcs	e·ybi·si·z
abd	e·ybi·di
